"","Ticker","Return.2010.2017","Name","Sector","Sec","Factor.Value","Factor.P","Factor","Return.Percentile"
"298","MOS",-0.517048978778235,"The Mosaic Company","Materials","M",-0.0182565007367023,0.0555052645707955,"Intercept",0.0066815144766147
"171","FCX",-0.420060446327674,"Freeport-McMoRan Inc.","Materials","M",-0.0179321189101989,0.261911707929228,"Intercept",0.0089086859688196
"43","APA",-0.557661351909943,"Apache Corporation","Energy","E",-0.0175798497161171,0.0441929256229479,"Intercept",0.0044543429844098
"49","ARNC",-0.210020330375969,"Arconic Inc.","Industrials","I",-0.0163786904584773,0.0766373607146196,"Intercept",0.0155902004454343
"141","DVN",-0.397880445281367,"Devon Energy Corp.","Energy","E",-0.015712567573034,0.0818912330672064,"Intercept",0.0111358574610245
"44","APC",-0.121020849093755,"Anadarko Petroleum Corp","Energy","E",-0.0153619339174475,0.0828302244866996,"Intercept",0.0244988864142539
"247","JNPR",0.114409229334214,"Juniper Networks","Information Technology","IT",-0.0145711347837497,0.0925163022212296,"Intercept",0.044543429844098
"210","HES",-0.166147261630237,"Hess Corporation","Energy","E",-0.0145414962382028,0.0472541501133037,"Intercept",0.0178173719376392
"315","NFX",-0.368389377739959,"Newfield Exploration Co","Energy","E",-0.0130138499722498,0.167435606752163,"Intercept",0.0133630289532294
"32","AMD",0.0597938144329897,"Advanced Micro Devices Inc","Information Technology","IT",-0.0128847599187655,0.354668617063061,"Intercept",0.0378619153674833
"17","AES",-0.0722855341200435,"AES Corp","Utilities","U",-0.012680631906429,0.0261249216516517,"Intercept",0.0289532293986637
"321","NOV",-0.0139451806660862,"National Oilwell Varco Inc.","Energy","E",-0.0118837778630482,0.128125832717454,"Intercept",0.0334075723830735
"242","IVZ",0.994903100938214,"Invesco Ltd.","Financials","FI",-0.0118120980044421,0.0155163358627277,"Intercept",0.173719376391982
"63","BEN",0.458510190092228,"Franklin Resources","Financials","FI",-0.0115157119672557,0.00607204042971609,"Intercept",0.089086859688196
"218","HPQ",0.228225881235549,"HP Inc.","Information Technology","IT",-0.0114519695794298,0.156377679274157,"Intercept",0.0556792873051225
"180","FLR",0.249533752846105,"Fluor Corp.","Industrials","I",-0.0103149764879083,0.0825432764242911,"Intercept",0.0623608017817372
"181","FLS",0.558656687277249,"Flowserve Corporation","Industrials","I",-0.0102160475098832,0.07568231612054,"Intercept",0.10913140311804
"384","SLB",0.190324262574451,"Schlumberger Ltd.","Energy","E",-0.00981459931589205,0.130394209170369,"Intercept",0.0512249443207127
"301","MRO",0.0903172812637554,"Marathon Oil Corp.","Energy","E",-0.0097418564390752,0.304436677809496,"Intercept",0.0423162583518931
"310","NBL",-0.100560883172333,"Noble Energy Inc","Energy","E",-0.00944705459106928,0.207313149722743,"Intercept",0.0267260579064588
"313","NEM",-0.12711955743116,"Newmont Mining Corporation","Materials","M",0.0652678854148169,0.849471624589077,"Mkt.Rf",0.022271714922049
"391","SRCL",0.232596047860769,"Stericycle Inc","Industrials","I",0.176793277069714,0.293824781015983,"Mkt.Rf",0.0579064587973274
"446","WEC",2.71310855467958,"Wec Energy Group Inc","Utilities","U",0.18711869927577,0.165755615262362,"Mkt.Rf",0.628062360801782
"388","SO",1.12007357434534,"Southern Co.","Utilities","U",0.190572303207684,0.0811813271275702,"Mkt.Rf",0.195991091314031
"147","ED",1.61573962299192,"Consolidated Edison","Utilities","U",0.195707067729921,0.123094484585563,"Mkt.Rf",0.33184855233853
"224","HSY",2.78889944912397,"The Hershey Company","Consumer Staples","CS",0.214383464059002,0.163440049565846,"Mkt.Rf",0.643652561247216
"139","DUK",1.21568521939864,"Duke Energy","Utilities","U",0.246513963750896,0.0364459909066856,"Mkt.Rf",0.21826280623608
"338","PCG",0.356562372453488,"PG&E Corp.","Utilities","U",0.266401587688919,0.0930857043373834,"Mkt.Rf",0.0734966592427617
"134","DLTR",5.68320505121019,"Dollar Tree","Consumer Discretionary","CD",0.266778153648972,0.160476547797766,"Mkt.Rf",0.924276169265033
"54","AWK",4.032009783065,"American Water Works Company Inc","Utilities","U",0.281003224503445,0.0189870271597054,"Mkt.Rf",0.815144766146993
"458","XEL",2.15186256322501,"Xcel Energy Inc","Utilities","U",0.28290744799311,0.01880849027429,"Mkt.Rf",0.456570155902004
"138","DTE",2.48550061990079,"DTE Energy Co.","Utilities","U",0.300147787617098,0.0130005362331165,"Mkt.Rf",0.585746102449889
"56","AZO",3.50148705626455,"AutoZone Inc","Consumer Discretionary","CD",0.300462243548611,0.041610324725305,"Mkt.Rf",0.770601336302895
"192","GIS",1.2187735794328,"General Mills","Consumer Staples","CS",0.308303293675575,0.0109490856854233,"Mkt.Rf",0.22271714922049
"101","CMS",2.99874619003275,"CMS Energy","Utilities","U",0.30889884838874,0.0179404210314984,"Mkt.Rf",0.699331848552339
"107","COO",4.80291115079882,"The Cooper Companies","Health Care","H",0.330744746309536,0.093177654926416,"Mkt.Rf",0.87750556792873
"110","CPB",0.804638601550721,"Campbell Soup","Consumer Staples","CS",0.33179661174627,0.0313384680651641,"Mkt.Rf",0.142538975501114
"126","DG",3.19982849004523,"Dollar General","Consumer Discretionary","CD",0.336316980021411,0.0940091380852391,"Mkt.Rf",0.732739420935412
"122","D",1.88024390553314,"Dominion Energy","Utilities","U",0.339355872472023,0.00221027380365099,"Mkt.Rf",0.418708240534521
"378","SCG",0.51361905712054,"SCANA Corp","Utilities","U",0.341137052557147,0.0246210501439696,"Mkt.Rf",0.0957683741648107
"350","PM",2.08408778798195,"Philip Morris International","Consumer Staples","CS",-1.0279558713989,2.54197284042586e-06,"SMB",0.447661469933185
"304","MSFT",2.40134492812238,"Microsoft Corp.","Information Technology","IT",-1.01644039016513,8.10462363904647e-05,"SMB",0.565701559020045
"11","ADM",0.547603450280325,"Archer-Daniels-Midland Co","Consumer Staples","CS",-0.96022251955456,0.00107306764872915,"SMB",0.10467706013363
"376","SBAC",3.64486807761547,"SBA Communications","Real Estate","RE",-0.918597960037082,8.58458810203982e-05,"SMB",0.779510022271715
"297","MO",4.38079238273431,"Altria Group Inc","Consumer Staples","CS",-0.91379743476582,2.28173994184247e-05,"SMB",0.848552338530067
"36","AMT",2.67800257802525,"American Tower Corp A","Real Estate","RE",-0.835861533143986,5.81050318729756e-05,"SMB",0.625835189309577
"196","GOOGL",2.35810648448945,"Alphabet Inc Class A","Information Technology","IT",-0.800214140125851,0.00610398979897677,"SMB",0.538975501113586
"288","MDLZ",1.83026903615904,"Mondelez International","Consumer Staples","CS",-0.796586713654208,4.97997886954903e-05,"SMB",0.400890868596882
"195","GOOG",2.36084825649705,"Alphabet Inc Class C","Information Technology","IT",-0.781362258076705,0.00710366630070891,"SMB",0.541202672605791
"113","CSCO",0.892172082747443,"Cisco Systems","Information Technology","IT",-0.747338439670294,0.00685628144157582,"SMB",0.155902004454343
"442","VZ",1.53711810457509,"Verizon Communications","Telecommunication Services","T",-0.723911360452524,0.00191429353062759,"SMB",0.309576837416481
"83","CCI",2.27164757273821,"Crown Castle International Corp.","Real Estate","RE",-0.718041408113182,0.000386459110264189,"SMB",0.514476614699332
"162","ETR",0.441118784796265,"Entergy Corp.","Utilities","U",-0.715663165068555,0.00231951140947054,"SMB",0.0846325167037862
"173","FE",-0.0219040882136053,"FirstEnergy Corp","Utilities","U",-0.712369079642991,0.0119388829739913,"SMB",0.0311804008908686
"154","EQIX",3.77215724410033,"Equinix","Real Estate","RE",-0.661130308554444,0.0262891398880822,"SMB",0.792873051224944
"316","NI",6.88266196369181,"NiSource Inc.","Utilities","U",-0.653879662802934,0.00342467768625513,"SMB",0.946547884187082
"116","CTL",-0.141156253555302,"CenturyLink Inc","Telecommunication Services","T",-0.652339886672266,0.0458346648207139,"SMB",0.0200445434298441
"257","KO",1.22835475547798,"Coca-Cola Company (The)","Consumer Staples","CS",-0.627983809915508,0.000122104374081777,"SMB",0.224944320712695
"343","PG",0.952374923395144,"Procter & Gamble","Consumer Staples","CS",-0.607798993768148,0.000257016646587811,"SMB",0.164810690423163
"1471","ED",1.61573962299192,"Consolidated Edison","Utilities","U",-0.597118753097073,0.00417031318453301,"SMB",0.33184855233853
"231","INCY",8.96947357894737,"Incyte","Health Care","H",-1.93593331106152,0.00051522389528333,"HML",0.971046770601336
"230","ILMN",6.15188255816309,"Illumina Inc","Health Care","H",-1.81215005770753,0.00206789400147712,"HML",0.937639198218263
"365","REGN",14.2643120691966,"Regeneron","Health Care","H",-1.48702313173813,0.0079627977132254,"HML",0.99109131403118
"318","NKTR",5.16942159090909,"Nektar Therapeutics","Health Care","H",-1.42175852697525,0.126370368211138,"HML",0.904231625835189
"37","AMZN",7.73390607470826,"Amazon.com Inc.","Consumer Discretionary","CD",-1.23230247105742,0.000140210580227016,"HML",0.957683741648107
"166","EXPE",2.39362527084241,"Expedia Inc.","Consumer Discretionary","CD",-1.14674506748263,0.00977881434479569,"HML",0.56347438752784
"6","ABMD",20.4427922196796,"ABIOMED, Inc.","Health Care","H",-1.13636215717913,0.0538159881137122,"HML",0.997772828507795
"368","RHT",2.85925431043527,"Red Hat Inc.","Information Technology","IT",-1.11371734292035,0.000387025010793858,"HML",0.66369710467706
"456","WYNN",2.52771217401395,"Wynn Resorts Ltd","Consumer Discretionary","CD",-1.10767366134626,0.0119807988469732,"HML",0.596881959910913
"443","WAT",2.13467465301518,"Waters Corporation","Health Care","H",-1.07633255805321,2.60375361136705e-07,"HML",0.4543429844098
"102","CNC",8.29769557603687,"Centene Corporation","Health Care","H",-1.06106032281355,0.00992051006676784,"HML",0.964365256124722
"440","VRTX",2.3874320575302,"Vertex Pharmaceuticals Inc","Health Care","H",-0.957705569956358,0.0975689241646585,"HML",0.561247216035635
"112","CRM",4.46538374766105,"Salesforce.com","Information Technology","IT",-0.951691923838671,0.00618198426585759,"HML",0.855233853006682
"20","AGN",3.16935958691499,"Allergan, Plc","Health Care","H",-0.951481561733594,0.00322996367682999,"HML",0.730512249443207
