Symbol,Name,Sector,Sec
MMM,3M Company,Industrials,I
AOS,A.O. Smith Corp,Industrials,I
ABT,Abbott Laboratories,Health Care,H
ABBV,AbbVie Inc.,Health Care,H
ACN,Accenture plc,Information Technology,IT
ATVI,Activision Blizzard,Information Technology,IT
AYI,Acuity Brands Inc,Industrials,I
ADBE,Adobe Systems Inc,Information Technology,IT
AAP,Advance Auto Parts,Consumer Discretionary,CD
AMD,Advanced Micro Devices Inc,Information Technology,IT
AES,AES Corp,Utilities,U
AET,Aetna Inc,Health Care,H
AMG,Affiliated Managers Group Inc,Financials,FI
AFL,AFLAC Inc,Financials,FI
A,Agilent Technologies Inc,Health Care,H
APD,Air Products & Chemicals Inc,Materials,M
AKAM,Akamai Technologies Inc,Information Technology,IT
ALK,Alaska Air Group Inc,Industrials,I
ALB,Albemarle Corp,Materials,M
ARE,Alexandria Real Estate Equities Inc,Real Estate,RE
ALXN,Alexion Pharmaceuticals,Health Care,H
ALGN,Align Technology,Health Care,H
ALLE,Allegion,Industrials,I
AGN,"Allergan, Plc",Health Care,H
ADS,Alliance Data Systems,Information Technology,IT
LNT,Alliant Energy Corp,Utilities,U
ALL,Allstate Corp,Financials,FI
GOOGL,Alphabet Inc Class A,Information Technology,IT
GOOG,Alphabet Inc Class C,Information Technology,IT
MO,Altria Group Inc,Consumer Staples,CS
AMZN,Amazon.com Inc.,Consumer Discretionary,CD
AEE,Ameren Corp,Utilities,U
AAL,American Airlines Group,Industrials,I
AEP,American Electric Power,Utilities,U
AXP,American Express Co,Financials,FI
AIG,"American International Group, Inc.",Financials,FI
AMT,American Tower Corp A,Real Estate,RE
AWK,American Water Works Company Inc,Utilities,U
AMP,Ameriprise Financial,Financials,FI
ABC,AmerisourceBergen Corp,Health Care,H
AME,AMETEK Inc.,Industrials,I
AMGN,Amgen Inc.,Health Care,H
APH,Amphenol Corp,Information Technology,IT
APC,Anadarko Petroleum Corp,Energy,E
ADI,"Analog Devices, Inc.",Information Technology,IT
ANDV,Andeavor,Energy,E
ANSS,ANSYS,Information Technology,IT
ANTM,Anthem Inc.,Health Care,H
AON,Aon plc,Financials,FI
APA,Apache Corporation,Energy,E
AIV,Apartment Investment & Management,Real Estate,RE
AAPL,Apple Inc.,Information Technology,IT
AMAT,Applied Materials Inc.,Information Technology,IT
APTV,Aptiv Plc,Consumer Discretionary,CD
ADM,Archer-Daniels-Midland Co,Consumer Staples,CS
ARNC,Arconic Inc.,Industrials,I
AJG,Arthur J. Gallagher & Co.,Financials,FI
AIZ,Assurant Inc.,Financials,FI
T,AT&T Inc.,Telecommunication Services,T
ADSK,Autodesk Inc.,Information Technology,IT
ADP,Automatic Data Processing,Information Technology,IT
AZO,AutoZone Inc,Consumer Discretionary,CD
AVB,"AvalonBay Communities, Inc.",Real Estate,RE
AVY,Avery Dennison Corp,Materials,M
BHGE,"Baker Hughes, a GE Company",Energy,E
BLL,Ball Corp,Materials,M
BAC,Bank of America Corp,Financials,FI
BAX,Baxter International Inc.,Health Care,H
BBT,BB&T Corporation,Financials,FI
BDX,Becton Dickinson,Health Care,H
BRK.B,Berkshire Hathaway,Financials,FI
BBY,Best Buy Co. Inc.,Consumer Discretionary,CD
BIIB,Biogen Inc.,Health Care,H
BLK,BlackRock,Financials,FI
HRB,Block H&R,Financials,FI
BA,Boeing Company,Industrials,I
BKNG,Booking Holdings Inc,Consumer Discretionary,CD
BWA,BorgWarner,Consumer Discretionary,CD
BXP,Boston Properties,Real Estate,RE
BSX,Boston Scientific,Health Care,H
BHF,Brighthouse Financial Inc,Financials,FI
BMY,Bristol-Myers Squibb,Health Care,H
AVGO,Broadcom,Information Technology,IT
BF.B,Brown-Forman Corp.,Consumer Staples,CS
CHRW,C. H. Robinson Worldwide,Industrials,I
CA,"CA, Inc.",Information Technology,IT
COG,Cabot Oil & Gas,Energy,E
CDNS,Cadence Design Systems,Information Technology,IT
CPB,Campbell Soup,Consumer Staples,CS
COF,Capital One Financial,Financials,FI
CAH,Cardinal Health Inc.,Health Care,H
KMX,Carmax Inc,Consumer Discretionary,CD
CCL,Carnival Corp.,Consumer Discretionary,CD
CAT,Caterpillar Inc.,Industrials,I
CBOE,Cboe Global Markets,Financials,FI
CBRE,CBRE Group,Real Estate,RE
CBS,CBS Corp.,Consumer Discretionary,CD
CELG,Celgene Corp.,Health Care,H
CNC,Centene Corporation,Health Care,H
CNP,CenterPoint Energy,Utilities,U
CTL,CenturyLink Inc,Telecommunication Services,T
CERN,Cerner,Health Care,H
CF,CF Industries Holdings Inc,Materials,M
SCHW,Charles Schwab Corporation,Financials,FI
CHTR,Charter Communications,Consumer Discretionary,CD
CVX,Chevron Corp.,Energy,E
CMG,Chipotle Mexican Grill,Consumer Discretionary,CD
CB,Chubb Limited,Financials,FI
CHD,Church & Dwight,Consumer Staples,CS
CI,CIGNA Corp.,Health Care,H
XEC,Cimarex Energy,Energy,E
CINF,Cincinnati Financial,Financials,FI
CTAS,Cintas Corporation,Industrials,I
CSCO,Cisco Systems,Information Technology,IT
C,Citigroup Inc.,Financials,FI
CFG,Citizens Financial Group,Financials,FI
CTXS,Citrix Systems,Information Technology,IT
CME,CME Group Inc.,Financials,FI
CMS,CMS Energy,Utilities,U
KO,Coca-Cola Company (The),Consumer Staples,CS
CTSH,Cognizant Technology Solutions,Information Technology,IT
CL,Colgate-Palmolive,Consumer Staples,CS
CMCSA,Comcast Corp.,Consumer Discretionary,CD
CMA,Comerica Inc.,Financials,FI
CAG,Conagra Brands,Consumer Staples,CS
CXO,Concho Resources,Energy,E
COP,ConocoPhillips,Energy,E
ED,Consolidated Edison,Utilities,U
STZ,Constellation Brands,Consumer Staples,CS
GLW,Corning Inc.,Information Technology,IT
COST,Costco Wholesale Corp.,Consumer Staples,CS
COTY,"Coty, Inc",Consumer Staples,CS
CCI,Crown Castle International Corp.,Real Estate,RE
CSRA,CSRA Inc.,Information Technology,IT
CSX,CSX Corp.,Industrials,I
CMI,Cummins Inc.,Industrials,I
CVS,CVS Health,Consumer Staples,CS
DHI,D. R. Horton,Consumer Discretionary,CD
DHR,Danaher Corp.,Health Care,H
DRI,Darden Restaurants,Consumer Discretionary,CD
DVA,DaVita Inc.,Health Care,H
DE,Deere & Co.,Industrials,I
DAL,Delta Air Lines Inc.,Industrials,I
XRAY,Dentsply Sirona,Health Care,H
DVN,Devon Energy Corp.,Energy,E
DLR,Digital Realty Trust Inc,Real Estate,RE
DFS,Discover Financial Services,Financials,FI
DISCA,Discovery Inc. Class A,Consumer Discretionary,CD
DISCK,Discovery Inc. Class C,Consumer Discretionary,CD
DISH,Dish Network,Consumer Discretionary,CD
DG,Dollar General,Consumer Discretionary,CD
DLTR,Dollar Tree,Consumer Discretionary,CD
D,Dominion Energy,Utilities,U
DOV,Dover Corp.,Industrials,I
DWDP,DowDuPont,Materials,M
DPS,Dr Pepper Snapple Group,Consumer Staples,CS
DTE,DTE Energy Co.,Utilities,U
DUK,Duke Energy,Utilities,U
DRE,Duke Realty Corp,Real Estate,RE
DXC,DXC Technology,Information Technology,IT
ETFC,E*Trade,Financials,FI
EMN,Eastman Chemical,Materials,M
ETN,Eaton Corporation,Industrials,I
EBAY,eBay Inc.,Information Technology,IT
ECL,Ecolab Inc.,Materials,M
EIX,Edison Int'l,Utilities,U
EW,Edwards Lifesciences,Health Care,H
EA,Electronic Arts,Information Technology,IT
EMR,Emerson Electric Company,Industrials,I
ETR,Entergy Corp.,Utilities,U
EVHC,Envision Healthcare,Health Care,H
EOG,EOG Resources,Energy,E
EQT,EQT Corporation,Energy,E
EFX,Equifax Inc.,Industrials,I
EQIX,Equinix,Real Estate,RE
EQR,Equity Residential,Real Estate,RE
ESS,"Essex Property Trust, Inc.",Real Estate,RE
EL,Estee Lauder Cos.,Consumer Staples,CS
RE,Everest Re Group Ltd.,Financials,FI
ES,Eversource Energy,Utilities,U
EXC,Exelon Corp.,Utilities,U
EXPE,Expedia Inc.,Consumer Discretionary,CD
EXPD,Expeditors International,Industrials,I
ESRX,Express Scripts,Health Care,H
